order_item_id,order_id,product_id,quantity
1,1001,103,3
2,1002,130,2
3,1002,129,1
4,1003,115,3
5,1003,123,2
6,1004,122,3
7,1005,109,1
8,1005,129,1
9,1006,110,3
10,1006,107,3
11,1006,111,1
12,1007,109,1
13,1007,103,3
14,1007,114,2
15,1007,102,1
16,1008,124,2
17,1008,118,3
18,1009,103,3
19,1010,119,3
20,1010,105,2
21,1010,105,1
22,1011,107,3
23,1011,108,3
24,1011,104,2
25,1012,130,1
26,1012,128,1
27,1013,124,2
28,1013,126,2
29,1014,126,3
30,1014,104,2
31,1015,127,2
32,1015,112,2
33,1016,113,2
34,1016,109,1
35,1017,122,3
36,1017,111,1
37,1017,104,2
38,1017,106,3
39,1018,112,3
40,1018,126,2
41,1018,114,3
42,1018,117,1
43,1019,102,3
44,1019,114,1
45,1019,117,3
46,1020,114,1
47,1020,122,2
48,1020,120,2
49,1021,122,2
50,1021,111,2
51,1021,123,2
52,1022,122,2
53,1022,122,3
54,1022,129,1
55,1022,120,3
56,1023,110,2
57,1024,115,2
58,1024,115,3
59,1024,107,3
60,1025,117,3
61,1025,121,3
62,1025,111,1
63,1026,126,1
64,1026,105,1
65,1027,115,2
66,1028,116,2
67,1028,108,1
68,1028,121,3
69,1028,101,1
70,1029,126,3
71,1029,117,2
72,1030,115,1
73,1031,125,2
74,1031,120,3
75,1031,129,3
76,1032,124,2
77,1032,115,2
78,1033,121,1
79,1033,109,2
80,1033,103,3
81,1033,110,1
82,1034,105,1
83,1035,103,2
84,1035,114,2
85,1036,107,2
86,1037,116,1
87,1037,112,2
88,1037,125,2
89,1037,128,2
90,1038,116,1
91,1038,109,2
92,1039,122,3
93,1039,126,2
94,1039,124,1
95,1040,130,2
96,1041,121,2
97,1042,109,2
98,1043,111,2
99,1043,109,2
100,1043,109,1
101,1044,112,1
102,1045,108,1
103,1046,105,2
104,1046,122,1
105,1047,125,2
106,1047,106,3
107,1047,120,3
108,1048,104,3
109,1048,101,2
110,1048,119,3
111,1049,119,3
112,1050,128,3
113,1050,120,1
114,1050,126,3
115,1051,122,2
116,1051,103,3
117,1051,121,2
118,1051,101,2
119,1052,121,2
120,1052,123,1
121,1052,114,1
122,1053,115,2
123,1053,127,3
124,1053,119,2
125,1053,111,1
126,1054,125,2
127,1054,119,3
128,1055,116,2
129,1056,126,2
130,1056,111,2
131,1056,129,3
132,1057,117,1
133,1058,118,1
134,1058,123,2
135,1058,121,3
136,1058,116,2
137,1059,113,3
138,1059,108,2
139,1060,118,3
140,1060,112,2
141,1060,124,3
142,1060,111,2
143,1061,109,1
144,1061,104,3
145,1061,107,2
146,1062,107,3
147,1062,116,2
148,1063,104,1
149,1063,110,1
150,1063,112,1
151,1064,109,1
152,1064,102,3
153,1065,104,1
154,1065,119,2
155,1065,116,2
156,1065,115,2
157,1066,104,1
158,1066,113,2
159,1066,103,3
160,1066,121,3
161,1067,103,1
162,1067,104,3
163,1067,125,2
164,1068,125,3
165,1068,113,2
166,1069,110,3
167,1069,120,1
168,1069,120,3
169,1069,104,1
170,1070,106,1
171,1071,101,2
172,1071,115,3
173,1072,108,2
174,1073,122,1
175,1074,114,1
176,1074,118,1
177,1075,103,1
178,1075,106,2
179,1076,104,2
180,1076,123,2
181,1076,123,2
182,1076,109,3
183,1077,120,1
184,1078,101,1
185,1078,108,3
186,1078,127,3
187,1079,125,1
188,1080,106,3
189,1080,114,3
190,1080,127,2
191,1081,111,2
192,1081,122,1
193,1081,128,1
194,1081,111,2
195,1082,127,3
196,1082,102,2
197,1082,103,2
198,1082,109,2
199,1083,122,3
200,1084,117,2
201,1084,120,2
202,1085,109,3
203,1085,105,2
204,1086,101,3
205,1087,118,1
206,1087,118,2
207,1087,103,1
208,1088,116,3
209,1088,110,3
210,1089,116,1
211,1089,115,3
212,1089,105,2
213,1089,107,3
214,1090,125,2
215,1090,111,3
216,1090,109,1
217,1091,128,1
218,1091,115,3
219,1091,116,2
220,1091,111,3
221,1092,130,2
222,1092,128,1
223,1092,123,1
224,1092,119,2
225,1093,124,2
226,1093,123,2
227,1093,113,3
228,1094,105,3
229,1095,104,3
230,1095,130,2
231,1095,101,3
232,1095,105,2
233,1096,126,2
234,1096,111,3
235,1096,123,2
236,1096,121,1
237,1097,111,3
238,1097,123,2
239,1097,128,3
240,1097,102,3
241,1098,124,1
242,1098,114,1
243,1099,106,3
244,1099,110,1
245,1099,102,2
246,1099,126,1
247,1100,105,1
248,1100,117,2
249,1100,119,3
250,1100,126,1
251,1101,120,3
252,1101,108,2
253,1101,130,3
254,1101,105,1
255,1102,109,3
256,1102,101,2
257,1102,129,2
258,1102,122,3
259,1103,119,2
260,1103,121,2
261,1103,123,2
262,1104,128,2
263,1104,104,1
264,1104,113,3
265,1104,112,3
266,1105,127,3
267,1106,130,3
268,1107,120,2
269,1107,108,3
270,1108,121,1
271,1108,129,3
272,1109,102,3
273,1109,112,3
274,1109,105,1
275,1109,130,2
276,1110,105,3
277,1110,129,2
278,1111,109,2
279,1111,126,2
280,1112,103,1
281,1112,125,1
282,1112,128,3
283,1112,124,3
284,1113,126,2
285,1114,115,2
286,1115,127,3
287,1115,112,1
288,1115,122,1
289,1115,116,1
290,1116,121,1
291,1116,121,2
292,1117,105,1
293,1118,104,1
294,1119,112,3
295,1119,124,3
296,1119,118,2
297,1119,119,3
298,1120,127,2
299,1121,123,2
300,1122,128,2
301,1122,104,3
302,1123,113,2
303,1124,122,1
304,1125,102,2
305,1126,103,3
306,1126,107,3
307,1127,126,3
308,1127,101,2
309,1128,126,1
310,1128,104,3
311,1128,128,1
312,1129,119,2
313,1129,101,1
314,1130,117,1
315,1130,124,1
316,1130,116,2
317,1130,125,2
318,1131,117,1
319,1131,120,1
320,1131,124,3
321,1131,117,2
322,1132,116,2
323,1133,123,2
324,1133,103,1
325,1133,111,3
326,1133,105,1
327,1134,113,3
328,1134,117,2
329,1134,115,3
330,1135,128,3
331,1136,115,1
332,1136,114,2
333,1136,127,2
334,1136,113,2
335,1137,111,3
336,1137,109,2
337,1137,105,3
338,1137,130,2
339,1138,114,1
340,1139,119,3
341,1140,112,3
342,1140,125,2
343,1140,128,3
344,1140,102,2
345,1141,119,3
346,1142,128,1
347,1142,112,3
348,1143,126,2
349,1143,128,3
350,1144,120,3
351,1145,109,3
352,1145,125,2
353,1146,128,1
354,1146,119,3
355,1147,103,3
356,1148,115,2
357,1148,106,2
358,1148,110,3
359,1148,111,3
360,1149,106,3
361,1149,102,3
362,1150,116,3
363,1150,115,2
364,1150,109,1
365,1150,125,3
366,1151,110,3
367,1152,102,1
368,1152,113,3
369,1152,102,1
370,1153,125,2
371,1153,110,2
372,1154,106,1
373,1154,113,3
374,1154,123,1
375,1154,117,3
376,1155,128,3
377,1155,102,2
378,1155,101,2
379,1155,130,1
380,1156,123,3
381,1156,114,2
382,1156,104,2
383,1156,101,2
384,1157,103,2
385,1157,128,1
386,1157,108,2
387,1158,113,2
388,1159,125,1
389,1159,103,3
390,1159,121,1
391,1160,112,3
392,1160,127,3
393,1160,127,1
394,1161,107,1
395,1161,120,1
396,1161,125,3
397,1162,125,3
398,1162,125,3
399,1162,115,3
400,1162,130,3
401,1163,128,3
402,1163,111,1
403,1163,115,1
404,1164,119,1
405,1164,112,3
406,1164,103,2
407,1165,112,2
408,1166,115,3
409,1166,118,3
410,1166,129,1
411,1166,115,3
412,1167,117,1
413,1167,102,2
414,1167,104,2
415,1167,123,1
416,1168,108,3
